TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-130007,,Certify Adoptium Temurin? Open JDK version 8 for running the Cúram Installers,Third Party Updates,,,,"The Adoptium Temurin? Open JDK version 8 has been certified for running the Cúram installers. This JDK is available as a free download from [https://adoptium.net/|https://adoptium.net/|smart-link]  . 

It should be noted that although this type of JDK can be used for running the installers, when building and deploying the Cúram application onto a supported application server, a suitable JDK compatible with that application server should be used. 

"
SPM-129919,,Update the Entity Relationship Diagram (ERD) with the new entities related to the Person Evidence Management feature,CEF,Application Development Environment,,,"*Issue Description:*
Cúram uses Entity Relationship Diagrams (ERDs) to illustrate how data is stored and to show dependencies between entities. The Entity Relationship Diagrams are provided in PDF format and these need to be updated to include the entities added for both the previously added Participant Data Case feature and the newly added Person Evidence Management feature.

*User Interface Impact:* No

*Steps to Reproduce:* NA

*Resolution:*
The Entity Relationship Diagrams are now updated to reflect entities that have been added for both the Participant Data Case and Person Evidence Management features.

The following updates have been made:

*ERD-Core*
A new Participant Data Case section with the following entities has been added:

* PDCEvidenceLink
* PDCEvidenceTypeDefLink
* PDCTypeLink

A new Person Evidence Management section has been added and the following entities added:

* PECEvidenceLink
* PECEvidenceTypeDefLink
* PECTypeLink

"
SPM-129895,DT036748,Cúram Session Timeout issue when minimizing browser,CEF,Application Development Environment,,,"*Issue Description:*
An IntensiveWakeUpThrottling feature has been introduced into the Microsoft Edge and Google Chrome browsers. This feature aggressively throttles JavaScript timers running in background tabs.

This new browser feature has affected some features in the Cúram application, specifically those associated with timers. One such feature is the Session Timeout feature which can be adversely affected if the browser window containing the countdown timer is minimized.

*User Interface Impact:* No

*Steps to Reproduce:* N/A

*Resolution:*
Additional functionality has been added to the Cúram Session Timeout feature to mitigate the effect of the browser IntensiveWakeUpThrottling setting and ensure that the timer works correctly even if the Session Timeout browser window has been minimized.

"
SPM-129886,,Person Evidence Management enhancement,CEF,Application Development Environment,Participant Management,Infrastructure,"Person Evidence Management provides a new approach to managing person evidence. Caseworkers can now use Person Evidence Management to maintain evidence centrally at the person level. 

A complete lifecycle of evidence management is provided at the person level allowing caseworkers to interact with person evidence using an Evidence Workspace. This workspace provides an Evidence Dashboard, as well as Active and In-edit evidence lists. The evidence associated with a person is not tied to any specific case. This independence allows caseworkers to access the latest version of evidence and verification statuses without needing to navigate across multiple integrated cases. 

This approach enhances efficiency by providing caseworkers with a dedicated space to manage evidence related to individuals, thereby improving accessibility and ensuring the most up-to-date information is available without being constrained by case-specific access permissions.

"
SPM-129841,DT036745,"While using a screen reader the selected value inside the Case Participant input field is not announced, the focus goes to the Clear button (X) and skips the input field",Accessibility,,,,"*Issue Description:*
When using a screen reader to search for and select a case participant on the New Task modal, the screen reader does not announce the selected value in the Case Participant input field, the focus goes to the Clear button (X) and skips the input field.  

*User Interface Impact:* No

*Steps to Reproduce:*

# Enable a screen reader.
# Log in as a caseworker.
# Register a person.
# Navigate to the Inbox tab.
# Select New Task from the actions menu.
# On the New Task modal, tab to the Case Participant search field. 
# Select the Search icon, search for and select the person registered in step 3. 
# Issue: The screen reader does not announce the selected value in the Case Participant input field. 

*Resolution:*
This has been resolved, the screen reader now announces the value in the case participant input field on returning to the New Task modal. 

"
SPM-129840,DT036744,Searching for and selecting an external user when creating a task while using a screen reader results in the page crashing and an error code being displayed,Accessibility,,,,"*Issue Description:*
When using a screen reader, searching for and selecting an item by using the Enter key or Spacebar results in the page crashing and an error code being displayed. For example, when creating a task while using a screen reader, searching for and selecting an external user causes the page to crash and the task is not created. 

*User Interface Impact:* No

*Steps to Reproduce:* 

# Enable a screen reader.
# Log in as a caseworker.
# Navigate to the Person Search page.
# Search for a registered user and open their home page.
# Navigate to the Administration tab.
# Select to create a new task.
# Select the search icon for an external user.
# Enter % in the search field to return all external users.
# Press the Tab key until you reach the Select link.
# Hit the link by pressing the Space bar.
# Issue: The new task page does not open and an error is displayed with Error code: ?STATUS&#95;ACCESS&#95;VIOLATION?.

*Resolution:*
This has been resolved. Now you can search for and select items using the Enter key or Spacebar while using a screen reader. For example, when creating a task while using a screen reader, searching for and selecting an external user will return the user to the new task page where the selected external user is displayed. The user can continue to create the task.

"
SPM-129757,"   DT036757","When verbose tracing is switched on and a user is attempting to save case notes an un-handled server exception is thrown ",CEF,Integrated Case Management,,,"*Issue Description:*
An un-handled server exception is thrown by the Cúram application when saving a client contact note and the ?curam.trace? application property is set to a value of ?trace_verbose?.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a system administrator.
# Navigate to Property Administration under the Application Data section in the shortcuts panel.
# Change the ?curam.trace? property to ?trace_verbose? and publish the change.
# Log out.
# Log in as a caseworker and register a new person.
# From the person?s home page, navigate to the Client Contact tab and select the Notes section.
# Click New to add a New Note and add a Subject, Priority, Sensitivity and Text for the Note.
# Click Save.
# Issue: An un-handled server exception message is displayed to the user after the modal closes.

*Resolution:*
The issue was present due to incorrect class casting logic in the associated service layer class used for processing case notes. This has now been resolved.
"
SPM-129740,,No validation displayed when assigning a component to a nominee where no destination bank account exists due to the deletion of the nominee bank account,CEF,Financial Management,,,"*Issue Description:*
The expected validation is not displayed when attempting to assign a component to a second case nominee, where the case nominee bank account has been deleted after the destination bank account was set on the case.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a Person.
# Add Bank Account evidence for this person.
# Create an integrated case.
# Add a product delivery with a delivery pattern of 'Weekly in advance by EFT'.
# Submit the product delivery for approval.
# Register a second Person.
# From the Product Delivery Financials tab, select Nominees and add the second person as a case nominee.
# Add Bank Account evidence for the second person.
# On the Product Delivery, select Change Bank Account for the second person added as a case nominee and select a destination bank account.
# Delete the Bank Account evidence for the second person.
# From the Product Delivery Financials tab, select Nominees and view the case nominee details to check the bank account name is empty.
# For the second person, assign a component.
# Issue: The validation ?The Component <Component Name> could not be assigned as the Nominee <Nominee Name> has no bank account.? is not displayed even though a bank account no longer exists for the second case nominee and there is no destination bank account for the case.

*Resolution:*
The logic for validating the case nominee was updated to display the correct validation where the delivery pattern on the product delivery is EFT and no destination bank account exists for that case nominee due to the deletion of the case nominee bank account.

"
SPM-129673,,Updates to supported browser versions,Third Party Updates,,,,"The following browser versions are now updated and certified for this release.

Caseworker Application Browser Support

* Google Chrome is updated to 119
* Microsoft Edge is updated to 119

Universal Access Application Browser Support

* Google Chrome is updated to 119
* Microsoft Edge is updated to 119
* Mozilla Firefox is updated to 119
* Apple Safari is updated to 17

"
SPM-129672,,Update browser plug-in Java? Runtime Environment (JRE) level used in Microsoft Word Integration,Third Party Updates,,,,"The following Oracle JRE level for Microsoft Word Integration supported for this release is:

* JRE 1.8 u391

"
