TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-132186,,Overflow Actions menu missing for Nominees in Nominee list page,CEF,,,,"*Issue Description:*
The inline overflow menu and menu items are not displayed on the Nominee list page when the curam.actionmenus.max-inline-items.list is set to 1. The user has no way to carry out any of the nominee actions other than New or Edit. 

*User Interface Impact:* No

*Prerequisites:*

# Log in as a system administrator.
# Navigate to Property Administration under Application Data in the shortcuts panel.
# Search for the property ?curam.actionmenus.max-inline-items.list?.
# Set the value to 1. Save and then publish the changes.
# Log out. 

*Steps to Reproduce:*

*Scenario 1:*

# Log in as a caseworker.
# Register a new person and create a Social Assistance case.
# Add Employment Status evidence and apply changes to activate the evidence.
# Create an Employment Benefit Product Delivery.
# On the Employment Benefit case, navigate to the Financials Tab and select the Nominees page.
# Issue: The overflow menu is not displayed so the user has no way to access the actions for the Nominee.

*Scenario 2:*

# Log in as an eligibility worker.
# Register a new person.
# Submit an Income Support Application for Food Assistance.
# Open the Income Support integrated case.
# Add and activate the necessary evidence on the integrated case to make the Food Assistance product delivery eligible.
# Authorise the product delivery.
# On the Food Assistance product delivery, navigate to the Financials Tab and select the Nominees page.
# Issue: The overflow action menu and menu items are not displayed, so the user has no way to access the actions for the Nominee. 

*Resolution:*
The overflow action menu and menu items are now displaying correctly on the Nominee list page. "
SPM-132182,DT036879,The dates are not displaying on the last row of the calendar widget when zoomed to 200%,Accessibility,,,,"*Issue Description:*
When a calendar widget is zoomed to 200%, the dates do not display in the last row of the widget and cannot be accessed using a mouse. 

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Click the ?Search for a person? link in the Quick Links pod to open the Person Search page.
# Use the browser zoom feature and zoom to 200%.
# Keep the cursor in the Date of Birth field to open the calendar widget.
# Issue: The dates on the last row of the calendar widget do not display and cannot be accessed using a mouse.

*Resolution:*
The calendar widget can now be scrolled within the main content area and all dates within the calendar can be accessed using a mouse.

"
SPM-132091,DT036873,"IEG fails to render pages with a large number of clusters ",ENT,Intelligent Evidence Gathering,Player,,"*Issue Description:*
When the IEG Player (using the java-based renderer) processes dynamic conditional clusters, NullPointerExceptions can be thrown under heavy load (multiple scripts being processed concurrently and a large number of conditional clusters).

*User Interface Impact:* No

*Steps to Reproduce:*

# Using a script that contains a page with a large number of dynamic conditional clusters.
# Run the script with multiple concurrent users.
# Issue: In a few instances, a NullPointerException will be thrown.

*Resolution:*
The code that processes dynamic conditional clusters has been updated so that concurrency won?t affect the result.

"
SPM-132034,DT036275,DBtoJMS LTPA mode does not handle mixed case header names correctly,CEF,Application Development Environment,Infrastructure,Batch Processing,"*Issue Description:*
The Batch Launcher uses HTTPS to make a DBtoJMS transfer request to the application server. This involves transferring cookies and other HTTPS headers including 'Transfer-Encoding', 'Content-Length', 'Set-Cookie'. If the casing header names used by the application server did not exactly match the above names, the DBtoJMS request would fail.

*User Interface Impact:* No

*Prerequisites:*
Customise the application server to change HTTP header name 'Set-Cookie' to 'set-cookie', that is, make it lowercase.

*Steps to Reproduce:*

# Set application property 'Database-to-jms - enable flag' to 'True'.
# Set application property 'Database-to-jms - Enable LTPA token usage for DB-to-JMS triggering' to 'True'.
# Set properties 'Database-to-jms - Notification hostname' and 'Database-to-jms - Notification port number' to reference the appropriate application server.
# Run the Batch Launcher.
# Issue: The Batch Launcher will fail with an error:  infrastructure:RUN&#95;ID&#95;DBTOJMS&#95;ERROR&#95;NOTIFYING&#95;SERVER: An error occurred triggering the database-to-JMS server.

*Resolution:*
The Batch Launcher now correctly supports mixed case names for HTTPS headers as per HTTP/1.1 specifications.

"
SPM-131992,,"When configuring localizable text for the names of WorkQueue, Organisation Structure, Job, Location and Slot, duplicate name text can be used for multiple records in the same language",CEF,Administration Suite,,,"*Issue Description:*
Due to the addition of multi-locale support for the ?name? fields on WorkQueue, Organisation Structure, Job, Location and Slot, it is now possible to bypass some validations. Specifically, those duplicate validations that enforce uniqueness on these name fields. The ?Add Translation? link provides two avenues for bypassing these validations: adding a translation and editing a translation.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as an administrator.
# Navigate to the Work Queues page under Workflow in the shortcuts panel. 
# Select the ?Add Name Text Translation? icon beside one of the work queue names.
# The View Localizable Text modal is displayed.
# Click Edit on one of the translations and copy this text.
# Select the ?Add Name Text Translation? beside a different work queue in the list.
# Click Edit on a translation with the same locale as the copied one and paste the text into the field and hit save.
# Issue: No validation is thrown to prevent the same text from being used for another work queue with the same locale.

*Resolution:*
Adding a new translation or making an edit to an existing translation via the ?Add Name Text Translation? link will now validate the uniqueness of the translation within the locale for the field in question. 

"
SPM-131968,,"Search results for Work Queue, Organization Unit and Position are incorrectly being filtered by the user?s locale when a user performs a search",CEF,,,,"*Issue Description:*
When a search is performed for business objects such as Work Queue, Organization Unit and Position using a search criterion of Name that is now translatable and the user?s locale is set to include a language and locale, for example, en&#95;US, the search will only return results where translations have been configured for the business object in the user?s locale. It will not return results that match the base language of the user?s locale, for example, en.

*User Interface Impact: No*

*Prerequisites:*

# Log in as a system administrator.
# Navigate to Property Administration under Application Data in the shortcuts panel.
# Search for the property ?curam.environment.app.menu.locale.toggle.enabled?.
# Edit the value and set it to 'true'. Save and then publish the changes.

*Steps to Reproduce:*

# Log in as a caseworker.
# Navigate to Cases and Outcome and select Provider under Searches.
# Select the search button for the Owner's Name.
# Click the search button for the Organization Unit.
# Enter '%' in the Organization Unit Name and click Search.
# Issue: No results are displayed. 

*Resolution:*
Now, when a search is performed for business objects such as Work Queue, Organization Unit and Position using a search criterion of Name, the search will return matches within their locale or their base language. For example, for a user with locale en&#95;US, the search will return results where translations have been configured for the business object in the user?s locale. Translations matching both the locale (en&#95;US), and base language (en), will be returned when a name is entered in the search criteria.

"
SPM-131910,DT036884,An unhandled server exception occurs when searching for Organization Units and Positions in the Organization Structure in the administration application,CEF,Administration Suite,,,"*Issue Description:*
Two application properties are available that provide the ability for an administrator to search for Organization Units and Positions in the Organization Structure. If these properties are enabled and the administrator attempts to use these searches an un-handled server exception occurs.

*User Interface Impact:* No

*Prerequisites:*

# Log in as a system administrator.
# Navigate to Property Administration under Application Data in the shortcuts panel.
# Search for the properties 'curam.core.admin.org.orgunitsearch.isenabled? and ?curam.core.admin.org.positionsearch.isenabled?.
# Edit each value and set it to 'YES'. 
# Save and then publish the changes.

*Steps to Reproduce:*

*Scenario 1:*

# Log in as an administrator.
# Select My Organization under Organization in the shortcuts panel.
# Navigate to the Structures tab and click the existing Organization Structure.
# Navigate to the Organization Unit tab.
# Search by Name, Type and Location.
# Issue: An un-handled server exception is displayed on the search page.

*Scenario 2:*

# Log in as an administrator.
# Select My Organization under Organization in the shortcuts panel.
# Navigate to the Structures tab and click the existing Organization Structure.
# Navigate to the Positions tab.
# Search by Organization Unit, Lead Position and Job.
# Issue: An un-handled server exception is displayed on the search page.

*Resolution:*
The issue for Organization Unit search and Position search if enabled has been resolved.?Now if a search is performed on either Organization Unit or Position a list of the Organization Units and Positions, respectively, that match the specified search criteria are returned.

"
SPM-131863,"PO09679, DT032844","Action menu within nested lists do not display all values ",Accessibility,,,,"*Issue Description:*
Within nested lists, all values in an action menu do not display without scrolling downward to view.

*User Interface Impact:* No

*Steps to Reproduce:*

*Scenario 1:* 

# Log in as an administrator. 
# Select Dynamic Evidence under Rules and Evidence in the shortcuts panel. 
# Click the New page-level action to create a new Dynamic Evidence Type and save the record.
# Expand the row to view the details for the Dynamic Evidence Type created in Step 3. 
# Select the ellipsis to view the action menu.
# Issue: The action menu is not large enough to display all values without a user scrolling. 

*Scenario 2:* 

# Log in as a Child Welfare Structured Decision Making intake worker.
# Select the Intakes Tab to expand the shortcuts panel. 
#  Expand the Intakes section and select New Intake.  
# Complete the Category, Types, Date, Time and Method fields and save the intake.
# The Intake Assistant opens, on the Basics tab enter a narrative in the Smart Panel.
# Select the Participants tab and select the New Participant action. 
# Enter mandatory details for the participant, First Name, Last Name and Role and click Next.
# On the next screen click Finish. 
# Click the New Participant action on the Participants tab to create a second participant.
# Enter mandatory details for the second participant, First Name, Last Name and Role and click Next.
# On the next screen click Finish. 
# Select the Relationships tab and select the New action.
# Create a relationship between the two participants registered above and save. 
# Select the Assessments tab.
# Select the checkbox for Inadequate Food for question 7, for all other questions either select the None checkbox or the No radio button. 
# Click Finish.
# Select the Open Intake action. 
# Navigate to the Assessments tab and select the ellipsis on the completed assessment row to view the action menu.
# Issue: All actions are not displayed in the menu, the user has to scroll down to view the full list of actions. 

*Resolution:*
The CSS for all screens containing action menus which are contained within nested lists have been adjusted to ensure that there is a minimum amount of space in those containing action menus that need to expand downwards. This will help with readability and will ensure that action menus contained within nested lists display a greater number of values that will result in less need for scrolling by users.


"
SPM-131854,DT036862,Long strings inside table data cells within the rich text Notes History are overlapping,Look and Feel,,,,"*Issue Description:*
When long strings are present inside table data cells within the rich text Notes History, the strings are overlapping.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a Person and navigate to the Client Contact tab.
# Create a new Note and insert a formatted table with long strings of text inside the table cells.
# Save the Note.
# Expand the Note in the Notes list to view the Notes History.
# Issue: Long text inside the table cells overlaps with text in adjacent cells.

*Resolution:*
When long strings are present inside table data cells within the rich text Notes History, the strings do not overlap and will wrap inside the table data cell.

"
SPM-131853,DT036859,Long words are not wrapping onto a new line in the Notes History list,Look and Feel,,,,"*Issue Description:*
When long words are present within the rich text Notes History list, the words are not wrapped onto a new line.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a Person and navigate to the Client Contact tab.
# Create a new Note and insert a long text string.
# Save the Note.
# Expand the Note in the Notes list to view the Notes History.
# Issue: The word does not wrap onto a new line.

*Resolution:*
When long words are present within the rich text Notes History list, the words wrap onto a new line.

"
