TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
2102080,,Update browser plugin-in Java? Runtime Environment (JRE) level used in Microsoft Word Integration,Third Party Updates,,,,"The following JRE level for Microsoft Word Integration is supported for this release:
\n * JRE 1.8 u351
\n"
2102079,,Tablet accessibility support,Third Party Updates,,,,The certified version of Apple VoiceOver is now updated to iOS 15.7. This is certified against Chrome 107.
2101465,,Browser Support Update,Third Party Updates,,,,"The following browser versions are now updated and certified for this release.
\n
\nCaseworker Application Browser Support
\n * Google Chrome is updated to 107
\n * Microsoft Edge is updated to 107
\n
\nUniversal Access Application Browser Support
\n * Google Chrome is updated to 107
\n * Microsoft Edge is updated to 107
\n * Mozilla Firefox is updated to 106
\n * Apple Safari is updated to 16
\n"
2095146,PO09820,An error is displayed when saving updates to user preferences,CEF,,,,"**Issue Description:**
\nThe user preferences modal that is available in the web client allows each user of the application to update certain user settings, such as their time zone. When a user tries to make any changes to the User Preferences, an 'Error 500 - internal server error' message is displayed.
\n
\n**User Interface Impact:** No
\n
\n**Steps to Reproduce:**
\n# Log in as an administrator.
\n# Open the Application menu and select the Preferences option.
\n# Modify a setting on the Preferences modal. For example, set Enhanced mode to Yes, and click Save.
\n# Issue: An 'Error 500 - internal server error' message is displayed. 
\n
\n**Resolution:**
\nUsers can now save updates to their user preferences without any errors being displayed. 
\n"
2093057,,Hook point to support draggable modals,CEF,,,,"**Issue Description:**
\nCurrently, in IBM Social Program Management Version 8, the Carbon Design System does not allow the modal windows to be moveable.
\n
\n**User Interface Impact:** No
\n
\n**Steps to Reproduce**: N/A
\n
\n**Resolution:**
\nA new JavaScript file that is called //webclient/components/core/WebContent/CDEJ/jscript/curam/application/modal/ModalHooks.js// is available to allow the implementation of custom functionality to make modal windows moveable.  The function //enableDraggableModals(modalRoot)// can be implemented in a custom component copy of this file. The modalRoot node of the modal is available within this function and can be updated to implement the required behavior. One of the most common ways to implement this behavior is to use event listeners that listen for users dragging the modals and update the position of the node by using the style attribute. 
\n"
2092223,,[Security PSIRT] Update the version of the Jsoup library to the latest available version,,,,,"Jsoup is a Java library that is used to work with HTML. It provides an API for fetching URLs and extracting and manipulating data, by using HTML5 DOM methods and CSS selectors. 
\n
\nThe version of the Jsoup JAR that is used by SPM has now been updated from 1.14.2 to 1.15.3. This new JAR file contains some minor bug fixes and enhancements.
\n
\nAs a result of this upgrade, the following changes have been made in the Java Development Environment deliverable.
\n * CuramSDEJlibthird_party_version.properties - the version of the specified Jsoup JAR file has been updated.
\n * CuramSDEJlibjsoup-1.15.3.jar - the version of the JAR has been updated.
\n * CuramCDEJlibextjarjsoup-1.15.3.jar - the version of the JAR has been updated.
\n
\nNote that any references in custom scripts and other artifacts must be updated to point to the new version of the JAR file as specified above."
2082156,DT036276,Batch launcher error when DB-to-JMS is enabled with WebSphere Liberty server,CEF,Application Development Environment,Server Development Environment,,"**Issue Description:**
\nThe batch launcher fails when DB-to-JMS is enabled in conjunction with WebSphere Liberty server.
\n
\nIn addition, the server logs will include one or both of the following messages:
\n * User ?UNAUTHENTICATED? does not have a role on CuramServer'
\n * java.lang.ClassCastException: curam.util.invoke.EJSLocal0SLEJBMethod_2b4572e3 incompatible with 'curam.util.invoke.Method'
\n
\n**User Interface Impact:** No
\n
\n**Steps to Reproduce:**
\n # Set application property 'Database-to-jms - enable flag' to 'True'.
\n # Set application property 'Database-to-jms - Notification batch launcher mode' to '1'.
\n # Set application property 'Database-to-jms - Notification host name' and 'Database-to-jms - Notification port number' to reference an SPM application on WebSphere Liberty.
\n # Run the batch launcher.
\n # Issue: [batchlauncher] A runtime exception occurred: An error occurred triggering the database-to-JMS server at '<host name>':'<port number>' (SSL mode: false). Note that properties 'curam.batchlauncher.dbtojms.notification.host' and 'curam.batchlauncher.dbtojms.notification.port' respectively must be set to the host and port number on which the Curam client application is deployed because the database to JMS server is part of the Curam client application.
\n
\n**Resolution:**
\nWhen DB-to-JMS is enabled, the batch launcher can authenticate with the server to obtain an LTPA token required by WebSphere Liberty to trigger a database-to-JMS transfer.
\n
\nLTPA token usage is enabled by setting the application property 'Database-to-jms - Enable LTPA token usage for DB-to-JMS triggering'
\n(Technical ID: curam.batchlauncher.dbtojms.notification.ltpa) to 'True'.
\n
\nTo help with troubleshooting another property 'Database-to-jms - Enable tracing for DB-to-JMS triggering'
\n(Technical ID: curam.batchlauncher.dbtojms.notification.trace) is now available. Setting this property to 'True' enables diagnostic logging for DB-to-JMS operations. Previously it was necessary to set the application-wide property 'Tracing level' (Technical ID: curam.trace) to 'trace_verbose' to activate this logging, which was less convenient.
\n"
2080688,PO09779,Form control labels are not displayed when a nested LABEL child element is used,Look and Feel,,,,"**Issue Description:**
\nA form control's label is not displayed on a page or modal if the associated FIELD element in UIM has a nested LABEL child element.
\n
\nFor example, the 'Show Nicknames' label is not displayed for a checkbox form control on the Person Search page if the label is nested.
\n
\n**User Interface Impact:** No
\n
\n**Prerequisite(s):**
\n * Install Social Program Management from a development installer.
\n * Locate the file: ../webclient/components/core/Person/Search/Person_searchCriteriaView.vim.
\n * Find the Nickname field:
\n
\n<FIELD LABEL=""""Field.Label.Nickname""""> <CONNECT> <SOURCE NAME=""""DISPLAY"""" PROPERTY=""""result$dtls$searchWithNicknamesInd"""" /> </CONNECT> <CONNECT> <TARGET NAME=""""ACTION"""" PROPERTY=""""personSearchKey$nicknameInd"""" /> </CONNECT> </FIELD>
\n
\n * Modify the field so that the LABEL is a child element instead of a FIELD attribute:
\n
\n<FIELD> <LABEL> <CONNECT> <SOURCE NAME=""""TEXT"""" PROPERTY=""""Field.Label.Nickname"""" /> </CONNECT> </LABEL> <CONNECT> <SOURCE NAME=""""DISPLAY"""" PROPERTY=""""result$dtls$searchWithNicknamesInd"""" /> </CONNECT> <CONNECT> <TARGET NAME=""""ACTION"""" PROPERTY=""""personSearchKey$nicknameInd"""" /> </CONNECT> </FIELD>
\n
\n * Run the client build (build clean client).
\n
\n**Steps to Reproduce:**
\n # Log in as a caseworker.
\n # Navigate to Cases and Outcomes, expand the shortcuts panel, and select Searches.
\n # Click Person to open the Person Search.
\n # Issue: The Show Nicknames label for the checkbox on the Person Search page is not displayed.
\n
\n**Resolution:**
\nThe JSP generator has been updated so that a label that is associated with a form control on an application page or modal is correctly displayed when a FIELD element has a nested LABEL element in UIM.
\n"
2080686,PO09703,Third-party address lookup services cannot access information from drop-downs in address fields,CEF,,,,"**Issue Description:**
\nIncorrect address evidence can be created where custom screens that use a third-party address lookup service cannot access data from drop-downs in address fields.
\n
\n**User Interface Impact:** No
\n
\n**Prerequisite(s):**
\n # A third-party address lookup service and a Social Program Management custom person registration screen that calls the lookup service and populates the results.
\n
\n**Steps to Reproduce:**
\n # Log in as a caseworker.
\n # Navigate to Cases and Outcomes, expand the shortcuts panel and select Registration.
\n # Click Person to open the Register Person modal.
\n # Use the address lookup service to collect the address to be populated.
\n # Issue: The address fields are not populated on the person registration screen when the address is selected.
\n
\n**Resolution:**
\nTwo functions are now available in the '//curam.util.Dropdown//' JavaScript module to support an update to the selected value of an address drop-down by a third-party address lookup service.
\n"
2080684,PO09795,"When an audit coordinator tries to assign a case audit, action buttons disappear from the modal dialog",CEF,Administration Suite,Case Audits,,"**Issue Description:**
\nWhen an audit coordinator tries to assign a case audit by selecting the New Auditor or New Audit Team button, all the available buttons disappear from the Assign Case Audits modal dialog.
\n
\n**User Interface Impact:** No
\n
\n**Prerequisite(s):**
\n # Log in as an administrator.
\n # Create a new Case Audit Configuration from the Case Audits menu item on the shortcuts panel.
\n # Select the following values on the modal dialog:
\n * Case audit type as Integrated Case
\n * Default Algorithm
\n * Check 'Allow Audit Coordinator to specify cases for audit'
\n * Integrated Case Dynamic Query
\n * Any available Focus Area
\n
\n**Steps to Reproduce:**
\n # Log in as an audit coordinator.
\n # Create an Audit Plan from the New Audit Plan shortcuts menu item.
\n # Select any of the available mandatory values.
\n # Navigate to the My Audit Plans list page and select the audit plan created above.
\n # Add a Schedule to the Audit Plan by using Add Schedule tab-level action menu.
\n # On the modal dialog, select any End Date in the future.
\n # Open the Page Actions menu from the Home tab of the Case Audit Plan and Generate Random Case Sample.
\n # On the Criteria screen of the Generate Random Case Sample modal, select a Start Date From value which is a year in the past.
\n # Enter 100 as the value for the Percentage field on the next screen, use the default for the rest of the wizard and click Finish.
\n # Navigate to the Case Audits tab and click the Assign Case Audits Link to open the Assign Case Audits dialog.
\n # Click the New Auditor or New Audit Team button.
\n # Issue: All the buttons disappear from the modal dialog.
\n
\n**Resolution:**
\nThe New Auditor and New Audit Team buttons do not disappear from the screen, and the audit coordinator can now successfully assign a case audit to a new auditor or audit team.
\n"
2080681,PO09812,Date picker content is partially hidden making it difficult to select a date value,Look and Feel,,,,"**Issue Description:**
\nWhen you open a date picker positioned at the end of a modal window, the calendar expands, but the dates are not displayed. Scrolling is required to select the hidden dates, but the calendar in the date picker closes when you click the scrollbar. To select a date, you must scroll down using the trackpad or the wheel on the mouse or tab into the widget and use the arrow keys. 
\n
\n**User Interface Impact:** No
\n
\n**Steps to Reproduce (Generic):**
\n # Log in as a caseworker.
\n # Register a Person.
\n # Create an integrated case.
\n # Navigate to the Evidence tab and add new Dividends evidence.
\n # Select the date widget on the New Dividends evidence modal.
\n # Issue: The date picker expands, but its content is only partially visible. Scrolling is required to select some dates, but the date picker closes when the user clicks on the scrollbar.
\n
\n**Resolution:**
\nWhen the date picker calendar opens, all the days from that month are visible and available to be selected without the need to scroll.
\n"
2080680,PO09775,The date picker is unnecessarily opened when certain modal dialogs open,CEF,Application Development Environment,Client Development Environment,Widgets,"**Issue Description:**
\nThe date picker is activated by default when you open a modal dialog where the first field accepts a date value. The open date picker can block some of the modal dialog content that the user needs to see.
\n
\n**User Interface Impact:** No
\n
\n**Steps to Reproduce:**
\n# Log in as a caseworker.
\n# Register a new Person.
\n# On the Evidence tab for the person, select New to add email address evidence.
