TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-129937,DT036745,"While using a screen reader the selected value inside the Case Participant input field is not announced, the focus goes to the Clear button (X) and skips the input field",Accessibility,,,,"*Issue Description:*
When using a screen reader to search for and select a case participant on the New Task modal, the screen reader does not announce the selected value in the Case Participant input field, the focus goes to the Clear button (X) and skips the input field.  

*User Interface Impact:* No

*Steps to Reproduce:*

# Enable a screen reader.
# Log in as a caseworker.
# Register a person.
# Navigate to the Inbox tab.
# Select New Task from the actions menu.
# On the New Task modal, tab to the Case Participant search field. 
# Select the Search icon, search for and select the person registered in step 3. 
# Issue: The screen reader does not announce the selected value in the Case Participant input field.

*Resolution:*
This has been resolved, the screen reader now announces the value in the case participant input field on returning to the New Task modal. 

"
SPM-129892,DT036715,A search value with a large amount of text when selected within the search field display the text overlapping the search Icon,Look and Feel,,,,"*Issue Description:*
When a long value is selected in a search field, the search text overlaps the search Icon.

*User Interface Impact:* No

*Steps to Reproduce:* 

# Log in as an administrator.
# Expand the Users section in the shortcuts panel and select User Search.
# Search for a known user's Organization Unit, for example, James Smith.
# Click edit and update the Organization Unit name to ?James Smith work unit - ALAW Test Really Long Name in Search Box to see how far this may overlap others.?
# Navigate back to user search and click the magnifying glass in the Organization Unit search field.
# Search for the Organization Unit updated in step 6.
# Select ?James Smith work unit - ALAW Test Really Long Name in Search Box to see how far this may overlap others.?
# Issue:  The long value in the search field overlaps the Search Icon.

*Resolution:* This has been resolved, when a search value contains a large amount of text is selected in a search field, the selected value does not overlap the Search Icon.

"
SPM-129889,DT036769,Wizard page transition doesn't auto-scroll to top where first field is a date,CEF,Application Development Environment,Client Development Environment,Look & Feel,"*Issue Description:*
When the user scrolls down on a wizard page and clicks next to a second wizard page, it should open at the top of the page. When the second page has a scrollbar and has a Date Picker as the first field, it opens in a scrolled-down position with the focus on the modal.

*User Interface Impact:* Yes

*Steps to Reproduce:*

# Modify RegisterPerson_registerForPDCWizardView.vim to put the Date of Birth field at the top.
# Build and deploy the application.
# Log in as a caseworker.
# Navigate to the Cases and Outcomes tab.
# Expand the Registration section.
# Register a person.
# Scroll down and click Next.
# Issue: The second page opens scrolled down where is should open to the top.

*Resolution:*
This issue has been resolved. When the second page has a scrollbar, and has a Date Picker as the first field, the page opens at the top with the field in focus. The obsolete focus styles for the modal body have been removed.

"
SPM-129887,DT036772,Navigators can no longer continue IEG applications started by citizens,ENT,Universal Access,,,"*Issue Description:*
External users such as navigators who act on behalf of citizens can no longer continue IEG applications started by citizens (and vice versa). _Note - This is only applicable for those who have customised the CE portal to enable navigator users to work on behalf of citizen users and only affects the motivations API._

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a Provider Manager. 
# Enroll a provider. 
# Log in as a Citizen user using the CE portal. 
# Click the 'Manage assister' link in the CE IEG page banner. 
# Assign the assister using the Assister reference number. 
# Log out from CE portal. 
# Login as the Navigator user (selected in step 5) using CE portal. 
# Click on Assist Client and Navigate to the Client Request Page
# Click on Resume the Health care application
# Issue: Something went wrong error is displayed

*Resolution:*
A new API delivered in v8 introduced a validation to enforce that the logged-in user corresponded to the user on the motivation. This meant that a navigator user could no longer resume an IEG script on behalf of a citizen (and vice versa).  Now, the motivation flow has been updated to apply the correct authorisation checks allowing navigator users to resume applications that a citizen started.

"
SPM-129878,DT036767,Missing columns and unnecessary screen elements shown when printing pages that contain a large number of columns,Look and Feel,,,,"*Issue Description:*
When printing a page within the Cúram application that contains a list with a large number of columns, some columns may not display on the printed page and scrollbars incorrectly display.

*User Interface Impact:* Yes

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a person.
# Navigate to the Client Contact tab.
# Create a New Note.
# Select the Print icon. Ensure that the Layout option is set to 'Portrait'.
# Select Cancel on the first Print Preview page (the context panel preview) to move to the Print Preview of the notes section.
# Issue: Some list columns may be missing and scrollbars displayed.

*Resolution:*
This issue is resolved, all columns are now displayed on the printed page and the scrollbars are no longer displayed.    

"
SPM-129842,DT036686,Radio button group form control does not correctly define relationship or mandatory fields,Accessibility,,,,"*Issue Description:*
On custom pages using the radio button group form control, the radio button group form control has no relationship between the label and the buttons.

Additionally, when a user is tabbing through mandatory radio button form controls, the screen reader does not announce them as mandatory.

*Resolution:*
The radio button group form control has a relationship between the label and the buttons. Screen readers will now notify a user when a radio button group from control is marked as mandatory in a form.

*Technical:*
The issue was resolved by an update to rendered HTML of the radio button group form control to properly group the buttons with the configured label.
A data-testid is generated in the HTML which is intended for testing purposes.

"
SPM-129839,DT036766,Javascript initiated from action menus is not working,ENT,Application Development Environment,Client Development Environment,,"*Issue Description:*
When selecting an item from within an action menu that is associated with custom JavaScript (i.e. item selected from an action menu's drop down), the action menu item fails to launch the JavaScript call.

*User Interface Impact:* No

*Prerequisite(s):*
Customise a dropdown action menu item so that a JavaScript call is launched when it is selected, for example, New Microsoft Word action on the Client Contact, Communications page.

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a person.
# Navigate to the Client Contact tab. 
# Select Communications.
# Select he New Microsoft Word action from the  dropdown menu.
# Issue: The action menu item fails to launch the JavaScript call. 

*Resolution:*
This has been resolved, both inline and dropdown menu items that have custom Javascript associated are functioning as expected.  "
SPM-129836,DT036761,Automatic form submission triggered from within a modal dialog displays incorrect content after it's refreshed,ENT,Application Development Environment,Client Development Environment,,"*Issue Description:*
Changing the value of a dropdown within a modal did not save the updated value on the server and the modal was incorrectly closed.

*User Interface Impact:* No

*Prerequisite(s):*
A customised dropdown which has an associated custom JavaScript event to submit the form when the user selects a value, for example, Special Interest on the Edit Person modal.

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a person.
# Navigate to the person home page and select Edit.
# Set the currency value (e.g. Andorran Peseta) and set Special Interest to High Risk.
# Issue: Once a Special Interest value has been selected, the modal incorrectly closes and the Special Interest field is not updated to High Risk.

*Resolution:*
Changing the value of a dropdown within a modal saves the updated value to the server and the correct content is displayed to the user after the modal refresh has completed.

"
SPM-129776,DT036763,Close action is displayed twice when adding a new evidence type record,Look and Feel,,,,"*Issue Description:*
When adding New evidence and the Add row-level action is selected for an evidence type, a Close action is displayed twice on this modal.

*User Interface Impact:* Yes

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a person.
# Navigate to the Evidence tab and click the New page-level action.
# On the New Evidence modal, select the Add row-level action for an evidence type.
# Issue: An extra ?Close? button is displayed on the add evidence wizard.

*Resolution:*
The extra close button is no longer displayed when adding a new evidence type.

"
SPM-129714,DT036248,Cúram Universal Access Responsive Web Application: IEG questions defined in conditionally hidden clusters but not referenced by read only element are included in the form,ENT,Intelligent Evidence Gathering,,,"*Issue Description:*
IEG questions that are defined in conditionally hidden clusters are incorrectly displayed in forms. In the forms, only questions that are referenced by read-only elements should be displayed.

*User Interface Impact:* No

*Steps to Reproduce:* 

# Update an IEG script to contain a static conditional cluster that starts a custom function without a read-only expression.
# In the Universal Access Responsive Web Application, apply for a benefit by using the updated IEG script.
# Issue: Observe that the hidden Boolean value is included in the response, which results in a checkbox that should be hidden being displayed on the IEG page. As a result, unexpected behavior might occur that might impact other pages that contain conditional clusters that reference the same question.

*Resolution:*
IEG pages that contain static conditional clusters, and that start custom functions without read-only-expressions, have been updated. The IEG pages no longer display hidden checkboxes.

"
SPM-129629,DT036737,URL not opening when clicked with custom onevent code configured,CEF,,,,"*Issue Description:*
When custom javascript is used to close a modal on clicking a custom URL, the modal closes as expected but the URL is not opening in a new tab.

*User Interface Impact:* No

*Prerequisite(s):*  

# A custom URL has been added to a modal where javascript is used to close the modal on clicking the URL.

*Steps to Reproduce:* 

# Log in as a caseworker.
# Navigate to the modal modified in the prerequisites step above. 
# Issue: On clicking the custom URL, the modal closes but the URL is not opened.

*Resolution:*
When custom javascript is used to close a modal on clicking a custom URL, the modal closes and the URL now opens in a new tab.

"
SPM-129627,DT036734,Edit boxes and checkboxes are not properly aligned with other input fields,Look and Feel,,,,"*Issue Description:*
Labelled inputs and unlabelled inputs/checkboxes in the same cluster row are not vertically aligned.

*User Interface Impact:* Yes.

*Steps to Reproduce:*

# Log in as a caseworker.
# Click on Person under Searches in the shortcuts panel.
# Issue: The Show Nicknames and Show Sounds Like Names checkboxes on the Person Search page are not aligned with the First Name and Last Name text inputs.

*Resolution:*
Checkboxes and other unlabelled inputs are now aligned to other inputs in the same row.

"
SPM-129600,,IEG navigation using the add-link and edit-link may not be consistent for some script design patterns,CEF,Intelligent Evidence Gathering,,,"*Issue Description:*
In IEG, the Universal Access React Application ?processing from summary' via the ?add link? and 'edit link? feature was inconsistent depending on the script design and the navigation path the user had taken. In some scenarios the navigation was incorrect when navigating from the summary to an add or edit page-set and back to the summary. 

*User Interface Impact:* No

*Steps to Reproduce:*

# Create an IEG script.
# Include in the script a set of pages (2 or more) that create a record, (e.g. a set of pages to create an income record). Include a conditional page at the end of the set of pages which is driven by a conditional question on a previous page.
# Include a summary page that includes an ?add link? to create the record. Specify the start and end page for the ?add link?, and use the page that is wrapped in a conditional to be the end page.
# Run the script and select the ?add link? to create the record.
# Navigate through the set of pages, but select the conditional value that will hide the end page.
# Issue: When the ?end page? is hidden the script will not return to the summary page as expected, instead it will continue to the next page in the script. When using the ?edit link? in the above scenario the next page will be the next iteration of the loop, i.e. you will begin editing the next record instead of returning to the summary page.

*Resolution:*
IEG has been improved to take account of more script design patterns and a wider range of user navigation paths when considering what the next page is when the user navigates so that the user is provided a predictable user experience.

"
SPM-129599,DT036739,Codetable hierarchy text is centre alignment,Look and Feel,,,,"*Issue Description:*
Drop-downs used in a code-table hierarchy appear narrower than expected and with additional unnecessary whitespace inside the field, thereby causing some selected values to be truncated.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a Provider Manager.
# Enrol a New Provider Enquiry and click Next.
# Scroll down to view the ?Primary Category and Types Interested In?.
# Issue: The values in the Provider Category and the Provider Type drop-down fields are narrower than expected. The white space before the text in the drop-down truncates the text. 

*Resolution:*
Drop-downs used in a code-table hierarchy now display at their expected size and without any unnecessary white space inside the field.

"
SPM-129597,DT036712,Changing control question answers in IEG can cause unhandled server exception and data loss,CEF,Intelligent Evidence Gathering,,,"*Issue Description:*
IEG may delete data for the incorrect record when control questions are modified.

*User Interface Impact:* No

*Steps to reproduce*

# Create an IEG script that contains a nested loop for adding and editing parent and child records. E.g. you can add a household member, and then you can add an income record by answering a question 'Does X have income?' which will conditionally enter a set of pages to add the income record. Note the outer loop must contain pages.
# Create a Summary page in the script that allows you to edit the Parent record to change the control question that adds the child record. I.e. an edit-link to the page where the question is asked.
# Run the script and add 3 parent records and 3 child records. E.g. add John, Mary and Tom and for each household member select yes for 'Does X have income' and add the income amount.
# Continue to the summary page and select the edit button on the second parent record. E.g. edit Marys record and select No when asked 'Does Mary have income?'.
# Continue to the summary page and select the edit button on the third parent record. E.g. edit Toms record and select No when asked 'Does Tom have income?'.
# Continue to the summary page and select the edit button on the second parent record. E.g. edit Marys record and select Yes when asked 'Does Mary have income?'
# Issue: The update fails on clicking next with ?Something went wrong. Try again or go to home.? Additionally data is lost for the previous record in the loop. E.g. if Toms control question 'Does Tom have Income' was changed to No then Marys record is deleted.

*Resolution:*
Now IEG correctly handles the modification of control questions that drive the addition and removal of Datastore entities.

"
SPM-129595,,Enable support for IEG script developer to delete entities via custom functions,CEF,Intelligent Evidence Gathering,,,"*Issue Description:*
In IEG, directly deleting entities from the Datastore via custom functions is unsafe. When entities are deleted via the IEG user interface 'Delete' action the IEG state machine is updated to reflect this change. This is an important process to ensure that the IEG state machine remains in sync with the Datastore. 

*User Interface Impact:* No

*Steps to reproduce:* 

# A custom function is used to delete an entity from the datastore during the script execution. The custom function deletes the entities by directly removing them from the Datastore.

{code:java}@Override
public Adaptor getAdaptorValue(final RulesParameters rulesParameters)
    throws AppException, InformationalException {
    
    final IEG2Context ieg2Context = (IEG2Context) rulesParameters;
  final long rootEntityID = ieg2Context.getRootEntityID();
  final long executionID = ieg2Context.getExecutionID();
  final IEGScriptExecution scriptExecution =
  IEGScriptExecutionFactory.getInstance().getScriptExecutionObject(
    executionID);

  Datastore datastore = null;
  try {
    datastore =
      DatastoreFactory.newInstance().openDatastore(
        scriptExecution.getSchemaName());
  } catch (final NoSuchSchemaException e) {
    throw new AppException(IEG.ID_SCHEMA_NOT_FOUND);
  }
  final Entity applicationEntity = datastore.readEntity(rootEntityID);
  final EntityType assessmentEntityType =
    datastore.getEntityType(""""assessment"""");
  final Entity[] assessmentEntities =
    applicationEntity.getChildEntities(assessmentEntityType);

  for (int i = 0; i < assessmentEntities.length; i++) {
    // THIS IS UNSAFE
    assessmentEntities[i].delete();
  }
}{code}

2. The behaviour of IEG is unpredictable after this custom function as the IEG state machine is not aware of the entity deletion.  

*Resolution:*

Now IEG provides support for programmatically triggering an entity delete from the Datastore in a safe and supported manner via the ?removeEntity? function of the curam.ieg.api.impl.IEGScript class. The code below shows how the original code can be refactored to a safe implementation that removes all the ?assessment? entities

{code:java}@Override
public Adaptor getAdaptorValue(final RulesParameters rulesParameters)
    throws AppException, InformationalException {
    
  final IEG2Context ieg2Context = (IEG2Context) rulesParameters;
  final long rootEntityID = ieg2Context.getRootEntityID();
  final long executionID = ieg2Context.getExecutionID();
  final IEGScriptExecution scriptExecution =
  IEGScriptExecutionFactory.getInstance().getScriptExecutionObject(
    executionID);
    
  // Use the RulesParameters object to instantiate an instance of the IEGScript class  
  // which provides safe methods for manipulating the script execution state and   
  // associated Datastore.
  IEGScript iegScriptImpl = new IEGScript(rulesParameters);

  Datastore datastore = null;
  try {
    datastore =
      DatastoreFactory.newInstance().openDatastore(
        scriptExecution.getSchemaName());
  } catch (final NoSuchSchemaException e) {
    throw new AppException(IEG.ID_SCHEMA_NOT_FOUND);
  }
  final Entity applicationEntity = datastore.readEntity(rootEntityID);
  final EntityType assessmentEntityType =
    datastore.getEntityType(""""assessment);
  final Entity[] assessmentEntities =
    applicationEntity.getChildEntities(assessmentEntityType);

  for (int i = 0; i < assessmentEntities.length; i++) {
    // Safe method of removing Datastore entities via a custom function.
    iegScriptImpl.removeEntity(assessmentEntities[i].getUniqueID());
  }
}{code}

"
